,actor_list,audiance,director_list,duration,genres,name,open_day,story_header,watch_grade,troll,image,actors
18,신현숙|박해일|수애|윤제문|라미란|이진욱|김규선|한주영|김강우|이강진|이수민|이수일|이수정|김정현|백승환|이정철|김준희|이현승|김지현|김근영|김진성|김진호|김태희|김현미|양정인|김형석|여상은|윤정희|문형수|임용순|박성훈|박아영|장혁진|정승준|박주희|정자영|박지원|정현석|조준희|김경민|김근영|김다솜|김다정|김대근|김동욱|김디나|최정윤|한지은|한희정|한희정|황지현|김미희|김선희|김시원|김성준|김건우,760945,변혁,119.0,[2],상류사회,20180829,"“왜, 재벌들만 겁 없이 사는 줄 알았어?”",청소년관람불가,152,https://movie-phinf.pstatic.net/20180730_55/1532927800050iSgEs_JPEG/movie_image.jpg,"[45, 46, 213, 69, 281]"
19,이종수|구지성|원기준,21432,권영락,85.0,"[0, 10]",꼭두각시,20130620,"거부할 수 없는 욕망, 일요일 3시… 그녀는 내 것이 된다.",청소년관람불가,151,https://movie-phinf.pstatic.net/20130522_1/1369208873492z84OC_JPEG/movie_image.jpg,"[194, 195, 196]"
20,전지현|코유키,98948,크리스 나흔,86.0,"[4, 0, 10]",블러드,20090611,운명보다 강한 그녀의 신화가 시작된다!,청소년관람불가,150,https://movie-phinf.pstatic.net/20111223_95/1324585393605TkEB8_JPEG/movie_image.jpg,"[284, 285]"
21,김수로|황정음|윤시윤|김민영|지연|박은빈|강내균|강성용|권현상|윤승아|황병현|박영주|박진수|남보라|박혜연|김기철|이동희|지성한|김도연|유미나|이상진|최민선|전상호|박상아|최아진|이종원|이용녀|지창욱|김진황,802936,유선동,84.0,"[0, 10]",고死 두 번째 이야기: 교생실습,20100728,우리들 중에 누군가 있다,15세이상관람가,149,https://movie-phinf.pstatic.net/20111223_214/1324619012431R4niU_JPEG/movie_image.jpg,"[206, 248, 249, 250, 251]"
22,니콜라스 케이지|가이 피어스|재뉴어리 존스,29301,로저 도널드슨,105.0,"[4, 2, 10]",저스티스,20120315,"모든 대결에는 이유가 있다!
",청소년관람불가,149,https://movie-phinf.pstatic.net/20160318_192/1458281933154QBCXn_JPEG/movie_image.jpg,[]
23,김수미|신현준|임형준|정준하|탁재훈|현영|허필봉|정웅인|박정호|박정환|한용환|모상범|임정빈|여기한|오석규|이창세|김지우|김성주|정만식|김화섭,2354263,정태원,103.0,[7],가문의 영광4 - 가문의 수난,20110907,,15세이상관람가,147,https://movie-phinf.pstatic.net/20111223_17/13246445819513a0iD_GIF/movie_image.jpg,"[217, 218, 220, 221, 219, 222, 294]"
24,키아누 리브스|제니퍼 코넬리,1562647,스콧 데릭슨,106.0,"[9, 4, 10]",지구가 멈추는 날,20081224,그의 계획은 이미 시작되었다,12세이상관람가,146,https://movie-phinf.pstatic.net/20111222_21/1324550917400R01hY_JPEG/movie_image.jpg,"[298, 299]"
25,메릴 스트립|조니 뎁|에밀리 블런트|제임스 코든|안나 켄드릭|크리스 파인,267624,롭 마샬,124.0,[3],숲속으로,20141224,마녀의 저주를 풀기 위해서 숲 속으로 가라!,전체관람가,144,https://movie-phinf.pstatic.net/20141211_50/1418282034345VFD4C_JPEG/movie_image.jpg,"[161, 162, 163, 164, 165, 166]"
26,김규백|정우|김주혁|정진영|김원해|정상훈|정해인|곽동연|천우희|진구|지웅배|김태준|김현목|이은|이상영|이상영|이소라|이승원|이예진|이용출|이유진|이재석|이재윤|이정민|김정훈|손종민|송은지|이진경|이진경|이태영|김지호|김태준|김하은|김현민|김현서|김현정|김혜림|염재민|유병선|윤석진|박가영|박윤호|전현우|박정수|박정우|정연수|박지영|박지혜|정지우|김호경|강동우|최동욱|권유진|김명준|최유리|최정은|최진우|최은지|홍진기|김민석|김성현|김수혁|김원진|김아영|김선권|김정현,404649,조근현,105.0,[16],흥부: 글로 세상을 바꾼 자,20180214,“내가 쓴 흥부전 궁금하지 않소”,12세이상관람가,142,https://movie-phinf.pstatic.net/20180123_152/1516695213779eHFwo_JPEG/movie_image.jpg,"[82, 83, 84, 11, 204]"
27,류승룡|장동건|송새벽|고경표|이레|탕준상|이상희|문정희|서현우|이동민|이동훈|이동희|이상민|이상영|이성훈|김재철|이정현|김주하|이호준|김효인|박노찬|장승화|박정숙|박정주|최대룡|김현|김은경|김원진|김병석,513356,추창민,123.0,"[10, 2]",7년의 밤,20180328,,15세이상관람가,141,https://movie-phinf.pstatic.net/20180314_263/1521014679282NcuID_JPEG/movie_image.jpg,"[72, 34, 73, 74, 187, 94]"
